,title,body,date,news
65,"한국교통대, 중간고사 ‘Student First 간식 전달 이벤트’ 진행","내외뉴스통신] 김의상 기자한국교통대학교(총장 박준훈)는 10월 20일(화), 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는...", 2020.10.21 , 내외뉴스통신 
66,"한국교통대,중간고사 ‘Student First 간식 전달 이벤트’ 진행",공보뉴스/충주본부] 윤일근 기자 한국교통대학교(총장 박준훈)는 10월 20일 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는..., 2020.10.20 , 한국공보뉴스 
67,한국교통대 중간고사 'Student First 간식 전달 이벤트' 진행,(충주=국제뉴스) 김상민 기자 = 한국교통대학교(총장 박준훈)는 20일 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 'Student..., 2020.10.20 , 국제뉴스 
68,"세한대학교, 총학생회 주관 중간고사 기간을 맞아 코로나키트 나...",[뉴스투데이=염보연 기자] 세한대학교(총장 이승훈) 총학생회가 지난 19일 중간고사 기간을 맞아 ‘시험기간 코로나키트 및 간식나눔행사’를 진행했다고 밝혔다. 이번 행사..., 2020.10.23 , 뉴스투데이 
69,"대전대 총학생회, 코로나19 감염 예방위해 ‘중간고사 기간 마스...",[아시아뉴스통신=이영호 기자] 대전대학교(총장 이종서) 총학생회(회장 이정환)가 중간고사 기간을 맞아 재학생들을 위한 마스크 및 손소독제 배부행사를 가졌다. 이번 행사..., 2020.10.23 , 아시아뉴스통신 
70,"한국교통대학교, 중간고사 ‘Student First 간식 전달 이벤트’ 진행",학생과 소통하기 위한 자리를 마련했다. 교통대 박준훈 총장은 20일 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들을 위해 직접 간식을 전달하는 ‘Student First..., 2020.10.20 , 충청투데이 
71,"한국교통대학교, 중간고사 ‘Student First 간식 전달 이벤트’ 열려","충북 충주=문병철 기자] 한국교통대학교(총장 박준훈)는 10월 20일(화), 2학기 중간고사 기간 중 대면 시험을 준비하는 학생들에게 총장이 직접 간식을 전달하는 ‘Student...", 2020.10.20 , 세계뉴스통신 
72,"단기간 확실한 중간고사 대비 전략은..""내모를 통한 내신 기출 유...","교육의 질 측면에서 부작용 또한 여실히 드러나 있는 상태다. 그럼에도 2학기 중간고사는 이달 중 변경없이 치러져, 원격 수업의 부족함을 메꾸면서 시험을 준비해야 하는...", 2020.10.14 , 서울경제 
73,ubc 울산방송) 중간고사 앞두고 심야교습 단속 나서,"강남교육지원청이 2학기 중간고사를 앞두고 학원과 교습소의 심야교습 불시점검에 나섭니다. 강남교육청은 코로나 상황에서 중간고사를 앞두고, 삼산동 등 학원 밀집지역...",,
74,"진세연, 중간고사 준비도 열심히 `청순 요정 미모`","청순 요정 미모를 뽐냈다. 16일, 배우 진세연은 자신의 인스타그램에 ""이제 곧 중간고사 시이자악. #우리모두화이팅""이라는 글과 함께 한 장의 사진을 게재했다. 사진 속...", 2020.10.16 , OBC더원방송 
