,title,body,date,news
326,"인하대, 대면·비대면 기말고사 병행 실시",있다.(사진제공=인하대학교) 인하대(총장·조명우)가 대면·비대면으로 치르는 올해 1학기 기말고사를 앞두고 철저한 방역 대책과 함께 부정행위 방지 대책을 내놨다. 기말고사, 2020.06.11 , 아시아뉴스통신 
327,"한동대 장순흥 총장, 학생들에게 직접 야식 전달하며 기말고사 응원",한동대학교는 최근 학생회관 앞 야외에서 기말고사를 맞은 학생들에게 야식을 나눠주는 ‘야식 이벤트’를 진행했다. 이날 행사에는 장순흥 총장과 신성만 학생처장이..., 2020.06.18 , 대경일보 
328,"인천대학교 인문대학, 기말고사 간식 나눔 행사",인천대학교 인문대학는 12. 4일에 2019학년도 기말고사 간식 나눔 행사를 진행하였다. 유혜배 인문대학장은 시험기간에는 통상 학생들이 간식 나눔 행사를 진행하였는데..., 2019.12.04 , 서울일보 
329,“역대급 난이도 기말고사” 대학생들이 진짜 당황하며 나눈 '카...,한 대학교 기말고사에서 황당한 소동이 벌어졌다.지난 18일 트위터에는 한 대학교 기말고사 과목 공지가 올라왔다. 담당 교수는 공지문에서 12월 17일 화요일 오후 2..., 2019.12.18 , 위키트리 
330,대학교 집단 커닝 사태 논란,비대면 방식을 유연하게 적용하는 방식을 고려하고 있다. 중간고사서 부정행위가 드러난 대학교는 기말고사는 대면 방식으로 치르겠다고 결정한 상태다. 하지만 어떤 방식을..., 2020.06.08 , 일요시사 
331,"[인공지능시대 미래교육] 선택적 패스제, 기말고사 대안 될까?","교수 재량에 맡기는 대학도 많다. 필자의 신한대학교 경우에는 대면시험, 과제물 대체...과제물 대체형식인 ppt 발표로 기말고사 진행을 예정하고 있다. 총의치기공학 전공...", 2020.06.16 , 에듀인뉴스 
332,"국민대, 부정행위 차단 '온라인 시험감독 시스템' 도입",국민대학교가 기말고사에 대비해 도입하는 온라인 시험감독 시스템의 예시 (국민대 제공) © 뉴스1 (서울=뉴스1) 권형진 기자 = 국민대가 온라인 시험 감독 시스템을 도입..., 2020.06.05 , 뉴스1 
333,"대전대, 15일부터 대면·비대면 방식 1학기 기말고사",대전대학교(총장 이종서)가 오는 15일부터 실시되는 1학기 기말고사를 앞두고 분주하다. 대전대는 코로나19 확산을 막고자 기말고사는 대면·비대면 방식으로 운영한다...,,
334,"'한양대는 소통하라' 실검 장악, 기말고사 대면시험 놓고 학교-학...",있는 것으로 풀이된다. 한양대 측은 기말고사를 대면시험으로 치르겠다는 방침을 지난...달리 대구지역 주요 4년제 대학교들은 대체로 대면시험을 준비하고 있는 것으로..., 2020.06.12 , 한국정경신문 
335,"""온라인 시험 부정행위 우려"" vs ""학생 안전 우선""","과목을 제외한 절반 가량은 대면, 절반은 비대면으로 치를 예정이다. 이처럼 대학교 기말고사의 대면·비대면 시험 방식이 각 교과목·담당 교원마다 달라 학생들도 상반된...",,
336,제주대 1학기 온라인 강의 확정…기말고사 어떡하나,제주대학교(총장 송석언)가 신종 코로나바이러스(코로나19) 상황과 무관하게 1학기 말...별 1학기 성적을 산출하기 위해선 기말고사가 더 중요해졌기 때문이다. 제주대는..., 2020.05.28 , 제주일보 
337,강원대학교 2학기 '제한적 대면' 방식 수업,춘천=연합뉴스) 양지웅 기자 = 강원대학교는 올해 2학기 수업을 수강 인원과 형태에...대면' 방식으로 운영한다. 중간·기말시험은 출석 고사를 원칙으로 한다. 강원대는..., 2020.07.29 , 연합뉴스 
338,"전북대 학생 10명 중 9명 ""비대면 기말고사 치러야""",전북대학교 학생 10명 중 9명은 코로나19 속에서 비대면 기말고사를 원하는 것으로 조사됐다.전북대 총학생회가 학생 4740명을 대상으로 지난달 17일 조사한 ‘기말 평가..., 2020.06.02 , 전북일보 
339,"수성대학교, 재학생들에게 기말고사 이벤트 밥버거와 음료수 제공",각종 자격증 시험을 준비하는 학생들을 격려하기 위해 ‘기말고사 칠 무렵’ 이벤트를 실시했다. 수성대학교는 이날 1000여 명의 학생들에게 밥버거와 음료수를 나눠줬으며..., 2019.12.09 , 한국대학신문 
340,[동신대학교 최일 총장] 혁신도시에 소재한 지역강소대학의 모델,오히려 고사시키는 방향으로 진행되고 있어 문제가 심각하다. 이러한 상황에서 지역대학...여덟 번째로 나주혁신도시에 위치한 동신대학교의 최 일 총장을 만났다. <편집자..., 2020.08.27 , 시사뉴스 
341,"동아대, 2학기 '대면·비대면·온-오프라인 혼합 수업' 병행",© 뉴스1 (부산=뉴스1) 노경민 기자 = 동아대학교는 2020학년도 2학기 학부 수업을 '대면...운영하는 방식이다. 중간고사와 기말고사의 경우 대면 평가를 원칙으로 한다..., 2020.08.11 , 뉴스1 
342,등록금 환불 요구에 대학가 2학기 수업 방식 고민,대학가 대면 기말고사 (부산=연합뉴스) 6월 17일 오후 부산 금정구 부산대학교에서 학생들이 기말고사에 응시하기 전 발열 체크를 하고 있다. 1학기 비대면 수업이 진행되고..., 2020.07.02 , 연합뉴스 
343,"'타율은 4할, 성적은 A+' 대학야구에 엄친아가 나타났다 [엠스플 ...",고려대학교 입학을 선택했다. 대학 무대에서도 2학년 때부터 바로 주전 선수로 올라섰다. 2학년 시즌엔 11경기 타율 0.375를 기록하며 팀 타선을 이끌었다. 발목 부상으로..., 2020.08.18 , 엠스플뉴스 
344,기말고사 앞둔 대학가..감염병 재확산으로 \'혼란\',보니 학교마다 제각각입니다. C.G 초당대학교와 동아보건대는 모두 재택수업으로 진행...코로나19 재확산 우려 속에 기말고사를 앞둔 대학에서는 또 다시 혼선과 반발이...,,
